category,text,Label,Result
0,"NLP is a multidisciplinary field that draws from linguistics and computer science, particularly artificial intelligence ,.  In terms of linguistics, a program must be able to deal with words that have multiple meanings (“wind up the clock” and “the wind is cold today”) as well as grammatical ambiguities (in the phrase “little girl’s school” is it the school that is little, the girls, or both?).  Of course each language has its own forms of ambiguity. Programs can use several strategies for dealing with these problems, including using statistical models to predict the likely meaning of a given phrase based on a “corpus” of existing text in that language ,. As formidable as the task of extracting the correct (literal) meaning from text can be, it is really only the first level of natural language processing.  If a program is to successfully summarize or draw conclusions about a news report from North Korea, for example, it would also have to have a knowledge base of facts about that country and/or a set of “frames” , about how to interpret various situations such as threat, bluff, or compromise. )",0,Human
1,"There are a variety of emerging applications for NLP, including the following:, voice-controlled computer interfaces (such as in aircraft cockpits), programs that can assist with planning or other tasks ,, more-realistic interactions with computer-controlled game characters, robots that interact with humans in various settings such as hospitals, automatic analysis or summarization of news stories and other text, intelligence and surveillance applications (analysis of communication, etc. ), data mining, creating consumer profiles, and other ecommerce applications, search-engine improvements, such as in determining relevancy",0,Human
2,"As each new means of communication and social interaction is introduced, social customs and etiquette evolve in response.  For example, it took time before the practice of saying “hello” and identifying oneself became the universal way to initiate a phone conversation. By the 1980s, a system of topical news postings , carried on the Internet was becoming widely used in universities, the computer industry, and scientific institutions.  Many new users did not understand the system, and posted messages that were off topic.  Others used their postings as to insult or attack (“flame”) other users, particularly in newsgroups discussing perennially controversial topics such as abortion.  When a significant number of postings in a newsgroup are devoted to flaming and counter-flaming, many users who had sought civilized, intelligent discussion leave in protest. In 1984, Chuq von Rospach wrote a document entitled “A Primer on How to Work with the Usenet Community. ” It and later guides to net etiquette or “netiquette” offered useful guidelines to new users and to more experienced users who wanted to facilitate civil discourse. ",0,Human
3,"These suggestions include:, Learn about the purpose of a newsgroup before you post to it.  If a group is moderated, understand the moderator’s guidelines so your postings won’t be rejected. , Before posting, follow some discussions to see what sort of language, tone, and attitude seems to be appropriate for this group Do not post bulky graphics or other attachments unless the group is designed for them. , Avoid “ad hominem” (to the person) attacks when discussing disagreements. , Do not post in ALL CAPS, which is interpreted as “shouting. ”, Check your postings for proper spelling and grammar.  On the other hand, avoid “flaming” other users for their spelling or grammar errors. , When replying to an existing message, include enough of the original message to provide context for your reply, but no more. , If you know the answer to a question or problem raised by another user, send it to that user by e-mail.  That way the newsgroup doesn’t get cluttered up with dozens of versions of the same information. ",0,Human
4,"In recent years there has been growing concern that Internet users may eventually be treated differently by service providers depending on the kind of data they download or the kind of application programs they use online.  Advocates of network (or net) neutrality , want legislation that would bar cable, DSL, or other providers , from making such distinctions, such as by charging content providers higher fees for high volumes of data or even blocking certain applications.  Advocates of net neutrality believe that, since there are rather limited choices for broadband Internet service, discrimination on the basis of Web content could lead to a loss of freedom for consumers and providers alike",0,Human
5,"By the late 1970s, researchers at many major universities were using the UNIX operating system ,.  In 1979, a suite of utilities called UUCP was distributed with the widely used UNIX Version 7.  These utilities could be used to transfer files between UNIX computers that were linked by some form of telephone or network connection. Two Duke University graduate students, Tom Truscott and Jim Ellis, decided to set up a way in which users on different computers could share a collection of files containing text messages on various topics.  They wrote a simple set of shell scripts that could be used for distributing and viewing these message files.  The first version of the news network linked computers at Duke and at the University of North Carolina.  Soon these programs were revised and rewritten in the C language and distributed to other UNIX users as the “A” release of the News software. During the 1980s, the news system was expanded and features such as moderated newsgroups were added.  As the Internet and its TCP/IP protocol , became a more widespread standard for connecting computers, a version of News using the NNTP (Network News Transmission Protocol) over the Internet was released in 1986.  Netnews is a mature system today, with news reading software available for virtually every type of computer",0,Human
6,"Netnews postings are simply text files that begin with a set of standard headers, similar to those used in e-mail.  (Like e-mail, news postings can have binary graphics or program files attached, using a standard called MIME, for Multipurpose Internet Mail Extensions. )The files are stored on news servers—machines that have the spare capacity to handle the hundreds of gigabytes of messages now posted each week.  The files are stored in a typical hierarchical UNIX fashion, grouped into approximately 75,000 different newsgroups. As shown in the following table, the newsgroups are broken down into 10 major categories.  The names of individual groups begin with the major category and then specify subdivisions.  For example, the newsgroup comp. sys. ibm. pc deals with IBM PC-compatible personal computers, while comp. os. linux deals with the Linux operating system. ",0,Human
7,"The servers are linked into a branching distribution system.  Messages being posted by users are forwarded to the nearest major regional “node” site, which in turn distributes them to other major nodes.  In turn, when messages arrive at a major node from another region, they are distributed to all the smaller sites that share the newsfeed.  Due to the volume of groups and messages, many sites now choose to receive only a subset of the total newsfeed.  Sites also determine when messages will expire (and thus be removed from the site). There are dozens of different news reading programs that can be used to view the available newsgroups and postings.  On UNIX systems, programs such as elm and tin are popular, while other newsreaders cater to Windows, Macintosh, and other systems.  Major Web browsers such as Netscape and Internet Explorer offer simplified news reading features.  To use these news readers, the user accesses a newsfeed at an address provided by the Internet Service Provider (ISP).  There are also services that let users simply navigate through the news system by following the links on a Web page.  The former service called DejaNews, now Google Groups, is the best-known and most complete such site",0,Human
8,"In the 1940s, the main objective in developing the first digital computers was to speed up the process of calculation.  In the 1950s, the machines began to be used for more general data-processing tasks by governments and business.  By the 1960s, computers were in use in most major academic, government, and business organizations.  The desire for users to share data and to communicate both within and outside their organization led to efforts to link computers together into networks. Computer manufacturers began to develop proprietary networking software to link their computers, but they were limited to a particular kind of computer, such as a DEC PDP minicomputer, or an IBM mainframe.  However, the U. S.  Defense Department, seeing the need for a robust, decentralized network that could maintain links between their computers under wartime conditions, funded the development of a protocol that, given appropriate hardware to bridge the gap, could link these disparate networks ,. ",0,Human
9,"According to the OSI (open systems interconnection) model, a network can be considered to be a series of seven layers laid one atop another ,. The physical layer is at the bottom.  It specifies the physical connections between the computers, which can be anything from ordinary phone lines to cable, fiber optic, or wireless.  This layer specifies the required electrical characteristics (such as voltage changes and durations that constitute the physical signal that is recognized as either a 1 or 0 in the “bit stream. ”The next layer, called the data link layer, specifies how data will be grouped into chunks of bits (frames or packets) and how transmission errors will be dealt with ,. The network layer groups the data frames as parts of a properly formed data packet and routes that packet from the sending node to the specified destination node.  A variety of routing algorithms can be used to determine the most efficient route given current traffic or line conditions. The transport layer views the packets as part of a complete transmission of an object (such as a Web page) and ensures that all the packets belonging to that object are sorted into their original sequence at the destination.  This is necessary because packets belonging to the same message may be sent via different routes in keeping with traffic or line conditions. The session layer provides application programs communicating over the network with the ability to initiate, terminate, or restart an interrupted data transfer. The presentation layer ensures that data formats are consistent so that all applications know what to expect.  This layer can also provide special services ,. Finally, the application layer gives applications highlevel commands for performing tasks over the network, such as file transfer protocol (ftp)",0,Human
10,"A network attached storage (NAS) unit can be thought of as a dedicated data storage unit that is available to all users of a network.  Unlike a traditional dedicated file storage unit ,, a NAS unit typically has an operating system and software designed specifically (and only) for providing data storage services.  The actual storage is usually provided by an array of hard drives ,.  Files on the NAS are accessed through protocols such as SMB (server message block), common on Windows networks, and NFS (network file system), used on many UNIX and some Linux networks.  In recent years smaller, lower-cost NAS devices have become available for smaller networks, including home networks, where they can store music, video, and other files ,",0,Human
11,"Although it sounds similar, a storage area network (SAN) does not function as its own file server.  Rather, it attaches storage modules such as hard drives or tape libraries to an existing server so that it appears to the server’s operating system as though it were locally attached.  Typically the protocol used to attach the storage is SCSI ,, but the physical connection is fiber or high-speed Ethernet.  The emphasis for SAN applications is the need for fast access to data, such as in large online databases, e-mail servers, and high-volume file servers.  SANs offer great flexibility, since storage can be expanded without changing the network structure, and a replacement server can quickly be attached to the storage in case of hardware failure",0,Human
12,"In the kind of science fiction sometimes called “cyberpunk,”people are able to “jack in” or connect their brains directly tocomputer networks.  Because of this direct input into the brain(or perhaps the optic and other sensory nerves), a personwho is jacked in experiences the virtual world as fully real,and can (depending on the world’s rules) manipulate it withhis or her mind.  This kind of all-immersive virtual reality isstill science fiction, but today people are beginning to controlcomputers and artificial limbs directly with their minds. ",0,Human
13,"Neuroprosthetics is the creation of artificial limbs or sensoryorgans that are directly connected to the nervous system. The first (and most widely used) example is the cochlearimplant, which can restore hearing by taking sound signals from a microphone and converting them to electricalimpulses that directly stimulate auditory nerves within thecochlea, a part of the inner ear.  Similarly, experimental retinal implants that stimulate optic nerves are beginning tooffer crude but useful vision to certain blind patients. Research in connecting the brain to artificial arms orlegs is still in its early stages, but scientists using microelectrode arrays have been able to record signals from thebrain’s neurons and correlate them to different types ofmotor movements.  In a series of experiments at Duke University, researchers first trained a monkey to operate a joystick to move a shape in a video game.  They then recordedand analyzed the signals produced by the monkey’s brainwhile playing the game, and correlated them with themotor movements in the joystick.  Next, they replicatedthese movements with a robotic arm as the monkey movedthe joystick.  Finally, they were able to train the monkey tomove the robotic arm without using the joystick at all, simply by “thinking” about the movements. ",0,Human
14,"As more is learned about the detailed functioning of neuronal networks inside the brain, “cognitive prosthetics” maybecome feasible.  One example might be computer memory modules that might act as a surrogate or extension ofhuman memory, perhaps helping compensate for loss ofmemory due to age or disease.  (Early experiments on interfacing to the hippocampus, a part of the brain important forforming memories, have been underway since 2003. )Other possibilities might include processors that couldgive a person the ability to think about a mathematicalproblem and “see” the answer, or to search databases or theWeb simply by visualizing or thinking about the information desired",0,Human
15,"Integers (whole numbers) have the simplest representation, but there are two important considerations: the totalnumber of bits available and whether one bit is used to holdthe sign. Since all numbers are stored as binary digits, an unsignedinteger has a range from 0 to 2bits where “bits” is the totalnumber of bits available.  Thus if there are 16 bits available, the maximum value for an integer is 65535.  If negativenumbers are to be handled, a signed integer must be used(in most languages such as C, C++, and Java, an integer issigned unless unsigned is specified).  Since one bit is usedto hold the sign and each bit doubles the maximum size, itfollows that a signed integer can have only half the rangeabove or below zero.  Thus, a 16-bit signed integer can rangefrom -32,768 to 32,767. One complication is that the available sizes of integersdepend on whether the computer system’s native data sizeis 16, 32, or 64 bits.  In most cases the native size is 32 bits,so the declaration “int” in a C program on such a machineimplies a signed 32-bit integer that can range from - 231 or-2,147,483,647 to 231-1, or 2,147,483,647.  However, if one isusing large numbers in a program, it is important to checkthat the chosen type is large enough.  The long specifier isoften used to indicate an integer twice the normal size, or64 bits in this case. ",0,Human
16,"Numbers with a fractional (decimal) part are usually storedin a format called floating point.  The “floating” means thatthe location of the decimal point can be moved as necessaryto fit the number within the specified digit range.  A floatingpoint number is actually stored in four separate parts.  Firstcomes the sign, indicating whether the number is negativeor positive.  Next comes the mantissa, which contains theactual digits of the number, both before and after the decimal point.  The radix is the “base” for the number systemused.  Finally, the exponent determines where the decimalpoint will be placed. For example, the base 10 number 247. 35 could be represented as 24735 × 10-2.  The -2 moves the decimal pointat the end two places to the left.  However, floating-pointnumbers are normalized to a form in which there is just onedigit to the left of the decimal point.  Thus, 247. 35 wouldactually be written 2. 4735 × 102.  This system is also knownas scientific notation. As noted earlier, actual data storage in modern computers is always in binary, but the same principle applies. According to IEEE Standard 754, 32-bit floating-point numbers use 1 bit for the sign, 8 bits for the exponent, and 23bits for the mantissa (also called the significand, since itexpressed the digits that are significant—that is, guaranteed not to be “lost” through overflow or underflow in processing).  The double precision float, declared as a “double”in C programs, uses 1, 11, and 52 bits respectively. ",0,Human
17,"Many objects are more elaborate or specialized variations ofmore basic objects.  For example, in Microsoft Windows thevarious kinds of dialog boxes are specialized versions of thegeneral Window class.  Therefore, the specialized versionis created by declaring it to be derived from a “base class. ”Put another way, the specialized class inherits the basicdata and functions available in the base (parent) class.  Theprogrammer can then add new data or functions or modifythe inherited ones to create the necessary behavior for thespecialized class. Languages such as C++ allow for a class to be derivedfrom more than one base class.  This is called multipleinheritance.  For example, a Message Window class mightinherit its overall structure from the Window class andits text-display capabilities from the Message class.  However, it can sometimes be difficult to keep the relationshipsbetween multiple classes clear.  The Java language takes thealternative approach of being limited to only single inheritance of classes, but allowing interfaces (specifications ofhow a class interacts with the program) to be multiplyinherited. ",0,Human
18,"Different kinds of objects often have analogous methods. For example, suppose there is a series of classes that represent various polygons: square, triangle, hexagon, and so forth.  Each class has a method called “perimeter” thatreturns the total distance around the edges of the object.  Ifeach of these classes is derived from a base polygon class,each class inherits the base class’s perimeter method andadapts it for its own use.  Thus, a square might calculateits perimeter simply by multiplying the length of a side byfour, while the rectangle would have to add up differentsized pairs of sides, and so on. ",0,Human
19,"In the late 1990s “banner ads” started to appear on Websites, and other forms of advertising soon followed.  Companies rushed into the online world, either with the belief thatit had unlimited potential for finding new customers, or outof fear that the competition would get there first.  Unfortunately it was hard to measure the actual effectiveness ofads, and Web sites (such as for publications) that lookedto third-party advertising as a source of income found theoutlook bleak in the wake of the bursting of the “dot-combubble” of the early 2000 decade. Only a few years later, however, advertisers using newbusiness models and targeting techniques have made onlineadvertising not only a viable business, but a rapidly growing one.  (According to the Interactive Advertsing Bureau,Internet advertising revenue in the United States in 2007was $21. 2 billion, up 26 percent from 2005. )The effects of the online advertising revolution are rippling outward, impacting traditional advertising mediasuch as newspapers (in particular see craigslist), magazines, and even television. ",0,Human
20,"Types of ads include the following:, Banner ads are contained in rectangles, often at the topof the Web page.  (Sometimes they can mimic dialogboxes from the operating system. ) They still accountfor about half of all online advertising, and can appearon sites of all types. , Pop-up or pop-under ads appear above or beneath thecurrent window, respectivelyFloating ads appear over the main page content, oftenmoving across the screen. , Interstitial ads are displayed before the requestedcontent (such as an article or video) is shown.  Theyrun for a specified period of time, although they cansometimes be closed by the viewer. Many ads are animated; some even contain video clips. There are also ads formatted for mobile devices, includingtext messages sent to cell phones. ",0,Human
21,"Google and other large search enginesor portals can make money from advertisers is through“affiliate marketing”; Google’s version is called Ad Sense. Participating Web sites are indexed, and the resulting keywords are matched with ads awaiting placement.  The sitecarrying the ad generally gets a per-click payment.  However, the problem of “click fraud” has also arisen: Scammerscan set up an affiliate site and then use special software togenerate the clicks, while making them come from a varietyof sources.  Despite these problems, in 2006 about 40 percent of revenue from online advertising was attributed tosearch-related ads. ",0,Human
22,"The dark side of online advertising is found in programsthat are surreptitiously installed on users’ PCs and thendownload and display advertising from shady Web operations ,.  While many users nowregularly run programs to block such malware, even legitimate online advertising can irritate users, particularlywhen ads are too prominent, float over (and block) text, orlurk behind the browser window.  Modern Web browsershave ad-blocking features that work with varying degreesof effectiveness.  As with TV, online advertisers increasinglyhave to cope with impatient users who do not have to lookat ads unless they actually want to. Advertisers can employ several strategies to keep userswilling to look at ads.  One is to make the ad unobtrusiveand brief, and on the way to something the user reallywants to see.  In 2007 YouTube began such advertising. Another is to provide free versions of software or servicesthat, in exchange for being free, require the user to put upwith some screen real estate being devoted to ads.  Finally,as with TV, advertising can be woven into the content itself,such as in online computer games. A sensitive area is the attempt to balance advertisers’desire to know as much as possible about consumers’ interestsand buying habits with the same consumers’ concern aboutprotecting their privacy",0,Human
23,"A variety of other frauds and scams appear online or viae-mail with some frequency:, the “419” or “Nigerian money letter” that promises arich cut for helping facilitate a money transfer for adistressed official, fraudulent charitable solicitations, particularly aftersuch disasters as the Asian tsunami or HurricaneKatrina, adoption and marriage scams, educational fraud, such as worthless degrees offeredby unaccredited institutions, dubious employment schemes or “home businesses”involving preparing mailings or medical billing, services that offer to “repair” bad credit ratings, tax-avoidance schemes, often based on nonexistentlegal claims or loopholes",0,Human
24,"Online casinos appeared in 1995, but at first they couldonly be played “for fun,” with no actual money changinghands.  That soon changed: In 1996, InterCasino appeared—it would be the first of hundreds of online casinos, sportsbookmakers, and other types of gambling.  Generally theseoperations are based outside of the United States—Caribbean islands such as Antigua and Curaçao are popular locations. Online casinos offer traditional table games such asblackjack, roulette, and craps.  Generally odds and payoffsare comparable to those at traditional casinos.  Assumingthe game is honest and properly programmed, the house’srevenue comes from a percentage of the amount bet—blackjack having the lowest house percentage and roulette thegreatest.  Slot machines (which give an even higher percentage to the house) can also be simulated online. ",0,Human
25,"Online poker has become very popular, particularly gamessuch as Texas Hold’Em.  Estimated revenues from onlinepoker in the United States were $2. 4 billion in 2005. Unlike the case with casino games, online poker playersplay against each other, not the house.  The house’s revenuecomes from a “rake,” or percentage, of the pot.  Many sitesoffer organized tournaments, and some online players havegone on to win traditional tournaments.  (The aptly namedChris Moneymaker won an online tournament, qualifyinghim to enter the 2004 World Series of Poker, which he wenton to win. )Like online casinos, online poker is illegal in the UnitedStates.  Proponents argue that while any given hand is random, poker in the long run is a game of skill, not chance.  Agroup called the Poker Players Alliance has been lobbyingto exempt poker from Internet gambling laws. A third type of online gambling is sports betting, whichis legal in many countries but only in Nevada in the UnitedStates.  The Web has also given sports bettors a forum fordiscussing (or arguing about) teams and their prospects. ",0,Human
26,"Online games today range from elaborate war games toopen-ended fantasy worlds to virtual universes that mirror“real-world” activities, including economics, politics, andeven education. The first online games appeared in the late 1970s onPLATO, an educational network, as well as on the earlyInternet of the 1980s.  These MUDs (multiuser dungeons)were generally based on pen-and-paper role-playing gamesof the time, notably Dungeons & Dragons.  These games were text based, with players typing their characters’ actionsand dialog while the changing world as seen by the players was similarly described.  By the early 1990s, however,MUDs had spun off many variants.  Many were still “hackn’ slash” dungeon games (which were also offered on America Online and other commercial services).  Many of theseMUD-like games such as AOL’s Neverwinter Nights offeredsimple graphics.  Meanwhile other games began to offermore sophisticated social interactions as well as the abilityof players to make their own additions to the game world,including buildings. ",0,Human
